Unnamed: 0,French,English
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
14,laisse,leash
15,eux,them
16,ville,city
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
24,revoir,meet again
25,aucune,any
27,parle,speak
28,compris,understood
30,étaient,were
31,pourrais,could
34,donné,given
35,corps,body
36,endroit,place
39,dont,whose
41,premier,first
43,main,hand
44,première,first
45,côté,side
46,pouvoir,power
47,sois,be
48,matin,morning
51,point,point
52,venu,came
53,suite,after
55,venez,come
56,vers,towards
57,minutes,minutes
58,demandé,request
60,belle,beautiful
61,aimerais,would like to
62,aujourd'hui,today
63,mari,husband
65,enfin,finally
66,eau,water
68,parti,left
71,arrêter,Stop
72,dirait,would say
73,terre,Earth
74,compte,account
76,loin,far
77,fin,end
78,croire,believe
79,chérie,sweetheart
81,plutôt,rather
82,aura,will have
83,filles,girls
85,bureau,office
